,District,Link,Price,Rooms,Totsp,Livesp,Kitsp,floor,number of floors,MetrDist,Walk,New,Brick,Balkon,DistCenter
5680,ﬁ«¿Œ,149252217,10028515.0,1.0,54.1,33.5,10.8,4.0,20.0,3.0,1.0,0.0,1.0,0.0,12.450190357770657
5681,ﬁ«¿Œ,150690451,10051064.0,3.0,92.0,47.5,15.1,13.0,31.0,15.0,1.0,1.0,1.0,1.0,22.061136285419053
5682,ﬁ«¿Œ,150024041,10070261.0,1.0,52.4,0.0,0.0,7.0,20.0,1.0,1.0,1.0,1.0,1.0,12.450190357770657
5683,ﬁ«¿Œ,151052649,10187000.0,2.0,69.3,50.0,17.0,6.0,7.0,0.0,0.0,1.0,1.0,1.0,13.923969868073074
5684,«¿Œ,148849157,285372450.0,0.0,240.0,150.0,15.0,6.0,8.0,5.0,0.0,0.0,1.0,1.0,9.756470554541023
5685,«¿Œ,149471280,65000000.0,5.0,145.0,110.0,35.0,12.0,35.0,10.0,0.0,0.0,1.0,0.0,8.42217202691872
5686,«¿Œ,151029707,9366000.0,1.0,46.8,17.9,12.5,2.0,14.0,10.0,0.0,1.0,1.0,1.0,13.173576685355007
5687,«¿Œ,150797948,1399222.0,1.0,15.2,15.0,0.0,3.0,3.0,26.0,0.0,0.0,0.0,0.0,21.361615607289227
5688,«¿Œ,150835717,1399333.0,1.0,15.3,10.3,5.0,3.0,3.0,15.0,0.0,1.0,1.0,0.0,20.898213499078167
5689,«¿Œ,150799670,1599111.0,1.0,20.1,20.0,0.0,1.0,3.0,17.0,0.0,1.0,1.0,0.0,20.898213499078167
5690,«¿Œ,150859901,1599444.0,1.0,20.4,15.4,5.0,1.0,3.0,23.0,0.0,0.0,1.0,0.0,21.020973294495267
5691,«¿Œ,151001204,2999111.0,2.0,38.1,32.1,6.0,3.0,3.0,15.0,0.0,0.0,1.0,0.0,19.826247022885173
